DATE,UNRATE,CPIAUCSL
1947-01-01,.,21.7000000000000000
1947-04-01,.,22.0100000000000000
1947-07-01,.,22.4900000000000000
1947-10-01,.,23.1266666666666667
1948-01-01,3.7333333333333333,23.6166666666666667
1948-04-01,3.6666666666666667,23.9933333333333333
1948-07-01,3.7666666666666667,24.3966666666666667
1948-10-01,3.8333333333333333,24.1733333333333333
1949-01-01,4.6666666666666667,23.9433333333333333
1949-04-01,5.8666666666666667,23.9166666666666667
1949-07-01,6.7000000000000000,23.7166666666666667
1949-10-01,6.9666666666666667,23.6600000000000000
1950-01-01,6.4000000000000000,23.5866666666666667
1950-04-01,5.5666666666666667,23.7666666666666667
1950-07-01,4.6333333333333333,24.2033333333333333
1950-10-01,4.2333333333333333,24.6933333333333333
1951-01-01,3.5000000000000000,25.6966666666666667
1951-04-01,3.1000000000000000,25.9466666666666667
1951-07-01,3.1666666666666667,25.9333333333333333
1951-10-01,3.3666666666666667,26.3166666666666667
1952-01-01,3.0666666666666667,26.4166666666666667
1952-04-01,2.9666666666666667,26.4866666666666667
1952-07-01,3.2333333333333333,26.6666666666666667
1952-10-01,2.8333333333333333,26.6966666666666667
1953-01-01,2.7000000000000000,26.6200000000000000
1953-04-01,2.5666666666666667,26.7200000000000000
1953-07-01,2.7333333333333333,26.8433333333333333
1953-10-01,3.7000000000000000,26.8900000000000000
1954-01-01,5.2666666666666667,26.9533333333333333
1954-04-01,5.8000000000000000,26.9100000000000000
1954-07-01,5.9666666666666667,26.8400000000000000
1954-10-01,5.3333333333333333,26.7566666666666667
1955-01-01,4.7333333333333333,26.7933333333333333
1955-04-01,4.4000000000000000,26.7566666666666667
1955-07-01,4.1000000000000000,26.7766666666666667
1955-10-01,4.2333333333333333,26.8566666666666667
1956-01-01,4.0333333333333333,26.8600000000000000
1956-04-01,4.2000000000000000,27.0366666666666667
1956-07-01,4.1333333333333333,27.3166666666666667
1956-10-01,4.1333333333333333,27.5500000000000000
1957-01-01,3.9333333333333333,27.7766666666666667
1957-04-01,4.1000000000000000,28.0133333333333333
1957-07-01,4.2333333333333333,28.2633333333333333
1957-10-01,4.9333333333333333,28.4000000000000000
1958-01-01,6.3000000000000000,28.7366666666666667
1958-04-01,7.3666666666666667,28.9300000000000000
1958-07-01,7.3333333333333333,28.9133333333333333
1958-10-01,6.3666666666666667,28.9433333333333333
1959-01-01,5.8333333333333333,28.9933333333333333
1959-04-01,5.1000000000000000,29.0433333333333333
1959-07-01,5.2666666666666667,29.1933333333333333
1959-10-01,5.6000000000000000,29.3700000000000000
1960-01-01,5.1333333333333333,29.3966666666666667
1960-04-01,5.2333333333333333,29.5733333333333333
1960-07-01,5.5333333333333333,29.5900000000000000
1960-10-01,6.2666666666666667,29.7800000000000000
1961-01-01,6.8000000000000000,29.8400000000000000
1961-04-01,7.0000000000000000,29.8300000000000000
1961-07-01,6.7666666666666667,29.9466666666666667
1961-10-01,6.2000000000000000,29.9900000000000000
1962-01-01,5.6333333333333333,30.1066666666666667
1962-04-01,5.5333333333333333,30.2200000000000000
1962-07-01,5.5666666666666667,30.3066666666666667
1962-10-01,5.5333333333333333,30.3800000000000000
1963-01-01,5.7666666666666667,30.4766666666666667
1963-04-01,5.7333333333333333,30.5333333333333333
1963-07-01,5.5000000000000000,30.7200000000000000
1963-10-01,5.5666666666666667,30.8033333333333333
1964-01-01,5.4666666666666667,30.9300000000000000
1964-04-01,5.2000000000000000,30.9800000000000000
1964-07-01,5.0000000000000000,31.0500000000000000
1964-10-01,4.9666666666666667,31.1933333333333333
1965-01-01,4.9000000000000000,31.2900000000000000
1965-04-01,4.6666666666666667,31.4900000000000000
1965-07-01,4.3666666666666667,31.5833333333333333
1965-10-01,4.1000000000000000,31.7500000000000000
1966-01-01,3.8666666666666667,32.0466666666666667
1966-04-01,3.8333333333333333,32.3366666666666667
1966-07-01,3.7666666666666667,32.6166666666666667
1966-10-01,3.7000000000000000,32.8833333333333333
1967-01-01,3.8333333333333333,32.9666666666666667
1967-04-01,3.8333333333333333,33.1666666666666667
1967-07-01,3.8000000000000000,33.5000000000000000
1967-10-01,3.9000000000000000,33.8666666666666667
1968-01-01,3.7333333333333333,34.2000000000000000
1968-04-01,3.5666666666666667,34.5333333333333333
1968-07-01,3.5333333333333333,35.0000000000000000
1968-10-01,3.4000000000000000,35.4333333333333333
1969-01-01,3.4000000000000000,35.8666666666666667
1969-04-01,3.4333333333333333,36.4333333333333333
1969-07-01,3.5666666666666667,36.9333333333333333
1969-10-01,3.5666666666666667,37.5000000000000000
1970-01-01,4.1666666666666667,38.1000000000000000
1970-04-01,4.7666666666666667,38.6333333333333333
1970-07-01,5.1666666666666667,39.0333333333333333
1970-10-01,5.8333333333333333,39.6000000000000000
1971-01-01,5.9333333333333333,39.9333333333333333
1971-04-01,5.9000000000000000,40.3000000000000000
1971-07-01,6.0333333333333333,40.7000000000000000
1971-10-01,5.9333333333333333,41.0000000000000000
1972-01-01,5.7666666666666667,41.3333333333333333
1972-04-01,5.7000000000000000,41.6000000000000000
1972-07-01,5.5666666666666667,41.9333333333333333
1972-10-01,5.3666666666666667,42.3666666666666667
1973-01-01,4.9333333333333333,43.0333333333333333
1973-04-01,4.9333333333333333,43.9333333333333333
1973-07-01,4.8000000000000000,44.8000000000000000
1973-10-01,4.7666666666666667,45.9333333333333333
1974-01-01,5.1333333333333333,47.3000000000000000
1974-04-01,5.2000000000000000,48.5666666666666667
1974-07-01,5.6333333333333333,49.9333333333333333
1974-10-01,6.6000000000000000,51.4666666666666667
